"pixel_idx","AOD"
2126,0.898146261228248
2127,NA
2128,0.792015373768663
2129,NA
2130,NA
2131,0.851563490148692
2132,NA
2133,0.928026276920718
2134,NA
2135,NA
2136,1.05299833481695
2137,NA
2138,1.36946449715106
2139,NA
2140,1.47075986949858
2141,NA
2142,NA
2143,1.4883488149062
2144,NA
2145,1.27184873988881
2146,NA
2147,NA
2148,1.16330972737342
2149,NA
2150,1.12521639982394
2151,NA
2152,1.1696479125203
2153,NA
2154,NA
2155,1.01473804393027
2156,NA
2157,1.45423692078233
2158,NA
2159,NA
2160,2.87149878696073
2161,NA
2162,NA
2163,NA
2164,NA
2165,NA
2166,NA
2167,NA
2168,NA
2169,NA
2170,NA
2171,NA
2172,NA
2173,NA
2174,NA
2175,NA
2176,NA
